
--- Minimize function Ackley-10dim

TTOpt        | t=  32.9 | ey=2.0e+00 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  32.9 | ey=2.3e+00 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  32.6 | ey=3.0e+00 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  32.5 | ey=2.0e+00 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  32.7 | ey=2.0e+00 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  32.5 | ey=2.8e+00 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  32.5 | ey=2.0e+00 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  32.5 | ey=2.3e+00 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  32.6 | ey=2.3e+00 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  32.9 | ey=2.8e+00 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=   8.4 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  2
TTOpt        | t=   8.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  2
TTOpt        | t=   8.5 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  2
TTOpt        | t=   8.9 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  2
TTOpt        | t=   9.2 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  2
TTOpt        | t=   9.9 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  2
TTOpt        | t=   9.2 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  2
TTOpt        | t=   9.3 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  2
TTOpt        | t=   9.2 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  2
TTOpt        | t=   9.1 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  2
TTOpt        | t=   4.4 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  3
TTOpt        | t=   4.5 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  3
TTOpt        | t=   4.3 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  3
TTOpt        | t=   4.1 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  3
TTOpt        | t=   4.3 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  3
TTOpt        | t=   4.4 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  3
TTOpt        | t=   4.5 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  3
TTOpt        | t=   4.2 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  3
TTOpt        | t=   4.0 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  3
TTOpt        | t=   4.1 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  3
TTOpt        | t=   2.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.7 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.7 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  5
